"['rt_gs_2', 'rt_gs_3', 'rt_gs_4', 'rt_gs_5', 'rt_gs_6', 'rt_gs_7', 'rt_gs_8', 'rt_gs_9', 'rt_gs_10', 'rt_gs_11', 'rt_gs_12', 'rt_gs_13', 'rt_gs_14', 'rt_gs_15', 'rt_gs_16', 'rt_gs_17', 'rt_gs_18', 'rt_gs_19', 'rt_gs_20', 'rt_total', 'gs_1', 'gs_2', 'gs_3', 'gs_4', 'gs_5', 'gs_6', 'gs_7', 'gs_8', 'gs_9', 'gs_10', 'gs_11', 'gs_12', 'gs_13', 'gs_14', 'gs_15', 'gs_16', 'gs_17', 'gs_18', 'gs_19', 'gs_20', 'sum_score', 'gender', 'home_computer', 'state', 'age']"
30,38,15,13,44,33,13,47,17,34,17,90,24,6,14,24,7,19,7,492,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,17,Male,Yes,Utah  United States of America,39
16,12,8,7,10,27,9,37,17,15,8,28,9,4,6,13,5,6,4,241,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,denver  colorado,35
20,11,8,12,12,25,16,39,10,27,9,37,15,4,8,10,8,8,7,286,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,16,Female,Yes,Indiana  USA,33
25,20,8,10,22,35,12,37,10,13,13,51,7,5,6,25,6,13,11,329,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,idaho  usa,30
33,44,10,28,21,62,48,62,24,31,20,54,17,12,29,24,9,16,9,553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,FLORIDA  USA,32
83,12,38,9,10,29,14,81,7,12,9,37,5,25,5,8,29,6,21,440,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,Virginia  USA,24
45,55,18,24,44,55,34,40,88,45,34,67,63,29,26,57,64,24,40,852,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,18,Male,No,KS  USA,47
36,24,12,34,29,48,15,80,45,36,14,71,67,5,15,20,19,24,8,602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19,Female,Yes,Rogers  Arkansas,36
27,34,11,22,34,44,22,57,20,28,20,47,17,7,11,14,13,17,8,453,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,va  usa,27
67,125,15,12,45,25,64,33,17,53,71,79,13,9,10,15,31,14,9,707,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,17,Male,Yes,Decatur  AL,28
22,21,6,10,15,39,13,45,15,13,15,50,10,4,13,11,6,11,6,325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Georgia  USA,39
86,21,11,9,15,63,17,83,17,41,14,39,13,5,10,20,7,12,14,497,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Texas  USA,34
71,25,11,11,16,141,38,19,39,18,17,39,20,12,7,12,6,15,4,521,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,18,Male,Yes,Florida  USA,33
19,13,10,10,14,36,11,51,17,24,13,32,12,5,8,11,7,8,7,308,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,Vermont  United States,34
41,97,18,48,22,91,21,76,41,66,124,85,17,6,8,63,10,30,6,870,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,Cheshire High School  Cheshire  Connecticut,60
37,40,13,18,21,69,14,94,21,24,16,63,27,8,23,26,17,13,9,553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Lakewood  CO,34
24,25,14,15,13,39,13,48,16,16,15,33,14,6,21,17,7,12,12,360,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,Texas  USA,33
21,16,10,8,11,66,23,35,19,24,10,44,7,5,8,11,7,8,8,341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Pennsylvania  United States,22
21,24,29,38,16,46,29,76,18,28,15,104,20,8,68,22,7,21,14,604,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,PA  USA,35
